season,points_id,player_id,win_points,placement,match_id,location_name,nickname,cum_sum_placement,cum_sum_placement_season
2024/2025,202492310,3,110,4,92,"Victoria Bowling",Vrbic,264,12
2024/2025,202492410,4,147,1,92,"Victoria Bowling",Spinda,219.5,4
2024/2025,202593110,1,147,2,93,"Xbowling Prosek",Pichy,273,11
2024/2025,202593210,2,125,3,93,"Xbowling Prosek",Helcl,167,9
2024/2025,202593310,3,123,4,93,"Xbowling Prosek",Vrbic,266,15
2024/2025,202593410,4,214,1,93,"Xbowling Prosek",Spinda,221,5
2024/2025,202594110,1,166,1,94,"Xbowling Prosek",Pichy,274,12
2024/2025,202594210,2,147,2,94,"Xbowling Prosek",Helcl,169,11
2024/2025,202594310,3,86,4,94,"Xbowling Prosek",Vrbic,270,19
2024/2025,202594410,4,139,3,94,"Xbowling Prosek",Spinda,224,8
2024/2025,202595110,1,102,4,95,"Xbowling Prosek",Pichy,278,16
2024/2025,202595210,2,189,1,95,"Xbowling Prosek",Helcl,170,12
2024/2025,202595310,3,175,2,95,"Xbowling Prosek",Vrbic,272,21
2024/2025,202595410,4,126,3,95,"Xbowling Prosek",Spinda,227,11
2024/2025,202596110,1,107,4,96,"Na Ovčíně",Pichy,282,20
2024/2025,202596210,2,130,1,96,"Na Ovčíně",Helcl,171,13
2024/2025,202596310,3,128,2,96,"Na Ovčíně",Vrbic,274,23
2024/2025,202596410,4,112,3,96,"Na Ovčíně",Spinda,230,14
2024/2025,202597110,1,137,3,97,"Na Ovčíně",Pichy,285,23
2024/2025,202597210,2,119,4,97,"Na Ovčíně",Helcl,175,17
2024/2025,202597310,3,160,2,97,"Na Ovčíně",Vrbic,276,25
2024/2025,202597410,4,178,1,97,"Na Ovčíně",Spinda,231,15
2024/2025,202598110,1,126,3,98,"Na Ovčíně",Pichy,288,26
2024/2025,202598210,2,148,1,98,"Na Ovčíně",Helcl,176,18
2024/2025,202598310,3,108,4,98,"Na Ovčíně",Vrbic,280,29
2024/2025,202598410,4,130,2,98,"Na Ovčíně",Spinda,233,17
2024/2025,202599110,1,135,2,99,"Na Ovčíně",Pichy,290,28
2024/2025,202599210,2,105,3,99,"Na Ovčíně",Helcl,179,21
2024/2025,202599310,3,99,4,99,"Na Ovčíně",Vrbic,284,33
2024/2025,202599410,4,137,1,99,"Na Ovčíně",Spinda,234,18
2024/2025,2025100110,1,116,3,100,"Na Ovčíně",Pichy,293,31
2024/2025,2025100210,2,169,1,100,"Na Ovčíně",Helcl,180,22
2024/2025,2025100310,3,109,4,100,"Na Ovčíně",Vrbic,288,37
2024/2025,2025100410,4,166,2,100,"Na Ovčíně",Spinda,236,20
2024/2025,2025101110,1,131,3,101,"Na Ovčíně",Pichy,296,34
2024/2025,2025101210,2,137,2,101,"Na Ovčíně",Helcl,182,24
2024/2025,2025101310,3,78,4,101,"Na Ovčíně",Vrbic,292,41
2024/2025,2025101410,4,146,1,101,"Na Ovčíně",Spinda,237,21


